Different Verticles of Questionnaire,Column ID,Selected Features,Feature Description,Encoding,My Comments
State of Electricity Access,125,q319_shs_use_yn,Whether solar home system (SHS) use?,"Yes-1, No-0",
State of Electricity Access,129,q319_d_shs_install_yn,Thought of installing SHS,"Yes-1, No-0",Ask only if Q319 is 0-No
State of Electricity Access,130,q319_e_noshs_noneed,no SHS - Do not need it in the future,1,Ask only if Q319 is 0-No
State of Electricity Access,131,q319_e_noshs_highcost,no SHS - High installation cost,2,Ask only if Q319 is 0-No
State of Electricity Access,132,q319_e_noshs_nosavings,no SHS - Doubts about energy savings,3,Ask only if Q319 is 0-No
State of Electricity Access,133,q319_e_noshs_quality,no SHS - Doubts about system quality,4,Ask only if Q319 is 0-No
State of Electricity Access,134,q319_e_noshs_nobenefit,no SHS - Do not know how benefit them,5,Ask only if Q319 is 0-No
State of Electricity Access,135,q319_e_noshs_notavailable,no SHS - Do not know locally available company,6,Ask only if Q319 is 0-No
State of Electricity Access,136,q319_e_noshs_process,no SHS - Not aware_installation process,7,Ask only if Q319 is 0-No
State of Electricity Access,137,q319_e_noshs_subsidy,no SHS - Do not know how to get subsidy,8,Ask only if Q319 is 0-No
State of Electricity Access,138,q319_e_noshs_loan,no SHS - Do not know how to get loan,9,Ask only if Q319 is 0-No
State of Electricity Access,139,q319_e_noshs_badfeedback,no SHS - Did not get good feedback,10,Ask only if Q319 is 0-No
State of Electricity Access,140,q319_e_noshs_nospace,no SHS - Do not have space,11,Ask only if Q319 is 0-No
State of Electricity Access,141,q319_e_noshs_other,no SHS - Other reasons,12,Ask only if Q319 is 0-No
State of Electricity Access,150,q324_prim_source_electricity,Primary Source of Electricity,"Grid-1, Battery-2, SHS-3, Solar Minigrid-4, Own Diesel Gen-5, Society Diesel Gen-6",Missing Values Reported
State of Electricity Access,498,q610_elec_bill_physical_yn,Whether Elec Bill show?,"Yes-1, No-0",
State of Electricity Access,499,q610_a_no_billing_days,Number of billing days,NA,
State of Electricity Access,500,q610_b_billed_units,Billed Units,NA,
State of Electricity Access,501,q610_c_billed_amount,Billed Amount,NA,
State of Electricity Access,503,q610_d_sanctioned_load,Sanctioned Load,NA,
State of Electricity Access,504,q610_e_bill_date,Bill Date,NA,
State of Electricity Access,505,q610_e_bill_month,Bill Month,NA,
State of Electricity Access,506,q610_e_bill_year,Bill Year,NA,
Electricity End Use,166,q405_a_incadescent_bulb_no,No. of incandescent bulbs,NA,Replace with Mode
Electricity End Use,167,q405_b_cfl_bulb_no,No. of CFL bulbs,NA,Replace with Mode
Electricity End Use,168,q405_c_led_bulb_no,No. LED bulbs,NA,Replace with Mode
Electricity End Use,169,q405_d_led_tube_light_no,Np. of LED tube lights,NA,Replace with Mode
Electricity End Use,170,q405_e_cfl_tube_light_no,No. of CFL tubelights,NA,Replace with Mode
Electricity End Use,189,q410_ceiling_fan_no,No. of ceiling fans,NA,Put 0 in Missing Values
Electricity End Use,204,q416_table_fan_no,No. of table/pedestal/wall mounted fans,NA,Put 0 in Missing Values
Electricity End Use,212,q422_air_coolers_no,No. of air coolers,NA,Put 0 in Missing Values
Electricity End Use,221,q428_ac_no,No. of air conditioners,NA,Put 0 in Missing Values
Electricity End Use,280,q447_room_heater_no,No. of electric room heaters,NA,Put 0 in Missing Values
Electricity End Use,294,q453_geyser_no,No. of electric geysers,NA,Put 0 in Missing Values
Electricity End Use,304,q458_imm_rod_no,No. of immersion roads,NA,Put 0 in Missing Values
Electricity End Use,312,q460_tv_no,No. of TV sets,NA,Put 0 in Missing Values
Electricity End Use,326,q467_fridge_no,No. of Fridges,NA,Put 0 in Missing Values
State of Cooking Energy Access,416,q529_prim_cook_fuel,Primary Cooking Fuel,"LPG-1, PNG-2, Electricity-3, Biogas-9, Others- 4,5,6,7,8,10",
